  p=32452883  primes=2000000  pairs=1999999
  p=67867999  primes=4000000  pairs=3999999
  p=104395337  primes=6000000  pairs=5999999
  p=141650981  primes=8000000  pairs=7999999
  p=179424697  primes=10000000  pairs=9999999
  p=217645201  primes=12000000  pairs=11999999
  p=256203223  primes=14000000  pairs=13999999
  p=295075163  primes=16000000  pairs=15999999
  p=334214521  primes=18000000  pairs=17999999
  p=373587923  primes=20000000  pairs=19999999
  p=413158549  primes=22000000  pairs=21999999
  p=452930479  primes=24000000  pairs=23999999
  p=492876871  primes=26000000  pairs=25999999
  p=533000411  primes=28000000  pairs=27999999
  p=573259439  primes=30000000  pairs=29999999
  p=613651393  primes=32000000  pairs=31999999
  p=654188459  primes=34000000  pairs=33999999
  p=694847551  primes=36000000  pairs=35999999
  p=735632801  primes=38000000  pairs=37999999
  p=776531471  primes=40000000  pairs=39999999
  p=817504301  primes=42000000  pairs=41999999
  p=858599527  primes=44000000  pairs=43999999
  p=899809369  primes=46000000  pairs=45999999
  p=941083991  primes=48000000  pairs=47999999
  p=982451737  primes=50000000  pairs=49999999
DONE primes=50847532 pairs=50847531 -> multibase_1e9.json
